,Unnamed: 0,Unnamed: 1,"November 28, 2017 @ 05:19 ",Unnamed: 3,Unnamed: 4
0,,,,,
1,Menu Items Sales Report,,,,
2,,,,,
3,,,,,
4,Business Date: 2017-11-27 00:00:00.0,,,,
5,Revenue Center: 1872 Fire Grill,,,,
6,Menu Item Number,Menu Item,,Sales Count,Sales Total
7,2429,TO GO,,6,0
8,2694,BISCUIT,,26,36.4
9,3210,BACON,,25,65
10,3223,SAUSAGE,,10,26
11,4294,LG BL PLTE BRKF,,17,148.75
12,4295,MONDAY BL PLTE,,167,1043.75
13,4300,SCRMBLD EGGS,,48,100.8
14,4301,SAUSAGE GRVY,,13,13
15,4304,EGGS STEAMED,,9,17.55
16,4316,HASH BROWNS,,28,44.8
17,4317,FRNCH TST CINN,,24,90
18,4330,PECAN PIE,,0,0
19,4331,PEACH COBBLR,,22,71.5
20,4342,FRIED CATFISH,,160,840
21,4345,PORK/MUSHRM SC,,0,0
22,4350,LEMN PEPP CHIX,,206,906.4
23,4352,CUBAN CTRS CHIX,,202,888.8
24,4359,CRVD STRP LOIN,,42,333.9
25,4369,BEEF STROGNOFF,,369,2011.05
26,4371,CRVD FLAT IRON,,49,379.75
27,4380,SCALOP POTATO,,0,0
28,4393,BRAISED GREENS,,0,0
29,4398,GRNBN/PEP/BACN,,299,523.25
30,4414,8 oz FLT IRON STK,,8,94
31,4417,DLMNCO STK 10 OZ,,4,59.8
32,4420,12 OZ FLAT IRON,,6,101.7
33,4427,GRILL SPECIAL 2,,2,23.9
34,4431,GRILLED MAHI,,9,107.55
35,4439,CHIX SWEET CHILI,,16,70.4
36,4447,RICE PILAF,,1,1.55
37,4448,RSTD SWT POTATO,,228,353.4
38,4449,MASHED POTATOS,,403,624.65
39,4451,GRLD ASPARGUS,,0,0
40,4452,MSHRM ASPGS RICE,,204,316.2
41,4454,GRN BNS/OR BUTTR,,1,1.55
42,4457,CAJUN RICE,,1,1.55
43,4458,TATOR TOTS,,8,12.4
44,4461,ORANGE RICE,,1,1.55
45,4465,STEAMED CARROTS,,228,353.4
46,4470,MSHD SWEET POTATOS,,1,0
47,4484,CHEF SPL DESSERT,,10,32.5
48,8201,COFFEE M,,13,31.85
49,9016,FOUNTAIN,,120,180
50,9019,GRN TO GO FLEX,,0,0
51,9021,GRN TO GO CASH,,0,0
52,9023,R2G 3 COMPTMNT,,1,0
53,9024,9 X 9 TO GO,,400,100
54,9031,MILK 1/2 PT,,21,28.35
55,9270,SOFT ROLL,,158,94.8
56,9972,EMPL. LUNCH,,0,0
57,9973,EMPL. DINNER,,0,0
58,9974,SICK MEAL,,0,0
59,9980,ICE/WATER,,149,14.9
60,9981,RARE,,1,0
61,9982,MEDIUM RARE,,8,0
62,9983,MEDIUM,,7,0
63,9984,MEDIUM WELL,,3,0
64,,,,,10146.7
65,,,,,
66,,,,,10146.7
67,,,,,
68,,,,,
69,,,,,
70,,,,,10146.7
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,1 / 1,,
