Menu Item Name,Family Group,Major Group,Qty Sold
NB CHICKEN,FOOD,FOOD,69635
EGG/CHZ N MEAT,BREAKFAST,FOOD,47872
9 X 9 COMPOSTBLE,RETAIL,RETAIL,43325
CHIX/RICE,ENTREES,FOOD,39119
MASHED POTATOS,SIDES,FOOD,31336
M/M 12OZ JCE,BEVERAGES,BEVERAGES,23379
NB STEAK,FOOD,FOOD,22871
CARB SODA,BEVERAGES,BEVERAGES,19008
BEEF/RICE,ENTREES,FOOD,18623
COFFEE M,BEVERAGES,BEVERAGES,18273
4 CHEEZ SL,PIZZA,FOOD,16797
FOUNTAIN,BEVERAGES,BEVERAGES,16715
FOUNTN Q,BEVERAGES,BEVERAGES,15864
POWERADE,BEVERAGES,BEVERAGES,15604
ICE/WATER,BEVERAGES,BEVERAGES,13734
PEPPRNI SL,PIZZA,FOOD,12921
ICE/WATER,BEVERAGES,BEVERAGES,12874
CHIPS TP,GRAB N GO,RETAIL,12190
M/M 160Z JCE,BEVERAGES,BEVERAGES,11644
FRESH FRUIT,FRESH FRUIT,RETAIL,11526
CHIPS N QUESO,FOOD,FOOD,11274
CREAM CHZ BGL,BREAKFAST,FOOD,11148
COOKE CHOC CHIP,DESSERTS,FOOD,9943
SOFT ROLL,SALAD BAR,FOOD,9599
HOKIE WATER,BEVERAGES,BEVERAGES,9590
FRIED RICE,ENTREES,FOOD,9527
CHIX PESTO SL,PIZZA,FOOD,9430
WESTERN,BREAKFAST,FOOD,9328
FRIED CHIX,ENTREES,FOOD,8382
MAC N CHEESE,SIDES,FOOD,8262
SHRIMP SFRY/RICE,ENTREES,FOOD,8205
NB VEGETABLE,FOOD,FOOD,8179
SPECIAL PIZZA,PIZZA,FOOD,8096
B CHICKEN,FOOD,FOOD,7899
X CHICKEN,FOOD,FOOD,7759
PEACE TEA,BEVERAGES,BEVERAGES,7519
FRESH FRUIT,BEVERAGES,BEVERAGES,7441
SWEET CREPE,DESSERTS,FOOD,7393
ICED COFEE MD B,BEVERAGES,BEVERAGES,7072
ZEE ZEE BAR,PREPACKAGED,RETAIL,6965
SIDE OF CHIPS,FOOD,FOOD,6945
BBQ CHIX,PIZZA,FOOD,6671
ICED COFEE LG B,BEVERAGES,BEVERAGES,6632
MILK 1/2 PT,BEVERAGES,BEVERAGES,6498
COFEE MD BRUEG,BEVERAGES,BEVERAGES,6389
BRKFST B CHIX,FOOD,FOOD,6299
X NUTELLA,TOPPINGS,FOOD,6258
