Menu Item Name,Family Group,Major Group,Qty Sold
NB CHICKEN,FOOD,FOOD,54516
9 X 9 COMPOSTBLE,RETAIL,RETAIL,52353
EGG/CHZ N MEAT,BREAKFAST,FOOD,40745
MASHED POTATOS,SIDES,FOOD,28184
M/M 12OZ JCE,BEVERAGES,BEVERAGES,25280
CARB SODA,BEVERAGES,BEVERAGES,22641
COFFEE M,BEVERAGES,BEVERAGES,20943
FOUNTAIN,BEVERAGES,BEVERAGES,18578
FRESH FRUIT,FRESH FRUIT,RETAIL,17917
ICE/WATER,BEVERAGES,BEVERAGES,17528
POWERADE,BEVERAGES,BEVERAGES,16827
NB STEAK,FOOD,FOOD,16632
LEMON CHIX/RICE,ENTREES,FOOD,16159
FOUNTN Q,BEVERAGES,BEVERAGES,15438
CREAM CHZ BGL,BREAKFAST,FOOD,14492
ICE/WATER,BEVERAGES,BEVERAGES,14322
FRIED RICE,ENTREES,FOOD,13898
M/M 160Z JCE,BEVERAGES,BEVERAGES,13698
HOKIE WATER,BEVERAGES,BEVERAGES,13618
CHIPS TP,GRAB N GO,RETAIL,13132
4 CHEEZ SL,PIZZA,FOOD,13056
BETR BACN CHD,BREAKFAST,FOOD,12790
CHIX/RICE,ENTREES,FOOD,12596
CHIPS N QUESO,FOOD,FOOD,12070
COOKE CHOC CHIP,DESSERTS,FOOD,11877
NQ CHICKEN,FOOD,FOOD,11407
PEPPRNI SL,PIZZA,FOOD,11272
SWEET CREPE,DESSERTS,FOOD,10460
ZEE ZEE BAR,PREPACKAGED,RETAIL,10429
SUB CHIX PARM,SANDWICHES,FOOD,10143
FRESH FRUIT,BEVERAGES,BEVERAGES,10069
CHIX SWEET CHILI,ENTREES,FOOD,10000
WESTERN,BREAKFAST,FOOD,9801
SPECIAL PIZZA,PIZZA,FOOD,9767
PEACE TEA,BEVERAGES,BEVERAGES,9588
SOFT ROLL,SALAD BAR,FOOD,9228
X NUTELLA,TOPPINGS,FOOD,9104
BEEF/RICE,ENTREES,FOOD,9031
B CHICKEN,FOOD,FOOD,9002
CHIX PESTO SL,PIZZA,FOOD,8847
RSTD SWT POTATO,SIDES,FOOD,8825
SZECHUAN BF/RICE,ENTREES,FOOD,8811
SHRIMP SFRY/RICE,ENTREES,FOOD,8354
CHIX&WAFFLE,ENTREES,FOOD,8221
DASANI,BEVERAGES,BEVERAGES,8003
COFEE MD BRUEG,BEVERAGES,BEVERAGES,7990
GRLD CHIX BRST,ENTREES,FOOD,7908
MAC N CHEESE,SIDES,FOOD,7885
X CHICKEN,FOOD,FOOD,7838
SIDE OF CHIPS,FOOD,FOOD,7818
HOKIE WATER,BEVERAGES,BEVERAGES,7695
FRIED CHIX,ENTREES,FOOD,7551
X STRAWBERRY,TOPPINGS,FOOD,7454
CUCUMBERS,SALAD,FOOD,7224
NB VEGETABLE,FOOD,FOOD,7185
MAMAS MEATLF,ENTREES,FOOD,7020
YTG FRUIT CUP LG,GRAB N GO,FOOD,7004
X BANANAS,TOPPINGS,FOOD,6841
ICED COFEE LG B,BEVERAGES,BEVERAGES,6792
CARROTS,SALAD,FOOD,6660
MILK 1/2 PT,BEVERAGES,BEVERAGES,6527
MESCLUN MIX,SALAD,FOOD,6414
YTG FRT C.STRW,GRAB N GO,FOOD,6409
SUTHRN SUCATSH,SIDES,FOOD,6404
ICED COFEE MD B,BEVERAGES,BEVERAGES,6403
GREEK YOGURT,PREPACKAGED,RETAIL,6380
BBQ CHIX,PIZZA,FOOD,6205
EGG N CHEESE,BREAKFAST,FOOD,5934
CHOC MUFFIN,DESSERTS,FOOD,5455
PEPPERS,SALAD,FOOD,5340
ALFREDO,PASTA,FOOD,5135
MONDAY BL PLTE,BREAKFAST,FOOD,5032
SMKD SALMN B,SANDWICHES,FOOD,4984
FETA,SALAD,FOOD,4873
SUB CHIX PESTO,SANDWICHES,FOOD,4752
BRUSSEL SPROUTS,SIDES,FOOD,4713
BRKFST B CHIX,FOOD,FOOD,4678
COFEE SM BRUEG,BEVERAGES,BEVERAGES,4660
YTG STWB.PARF,GRAB N GO,FOOD,4460
CHC HAZLNT CROIS,DESSERTS,FOOD,4393
ICED COFFEE L,BEVERAGES,BEVERAGES,4389
1872 RST CHIX,ENTREES,FOOD,4331
CAJUN RICE,SIDES,FOOD,4311
EGGS,SALAD,FOOD,4258
FRSH SPINACH,SALAD,FOOD,4256
ICED COFFEE M,BEVERAGES,BEVERAGES,4192
WRAP CLASSIC,BREAKFAST,FOOD,4150
TP PNUT CELERY,PREPACKAGED,FOOD,4054
CHERRY TOMATO,SALAD,FOOD,4014
B STEAK,FOOD,FOOD,4005
NQ STEAK,FOOD,FOOD,4003
GELATO/SORBE LG,ICE CREAM,FOOD,3967
NEW SCHOOL CLUB,SANDWICHES,FOOD,3965
CRAISINS,SALAD,FOOD,3849
YTG FRT C. GRPES,GRAB N GO,FOOD,3838
ACAI PRIMO BWL O,BEVERAGES,BEVERAGES,3826
CARAMEL FLAV,BEVERAGES,BEVERAGES,3797
BELVITA COOKIE,PREPACKAGED,FOOD,3781
MILK 1/2 PNT,BEVERAGES,BEVERAGES,3780
STEAMED CARROTS,SIDES,FOOD,3771
SCRMBLD EGGS,BREAKFAST,FOOD,3734
STMD BROC/BTR,SIDES,FOOD,3688
COFEE LG BRUEG,BEVERAGES,BEVERAGES,3685
CNTRY GRN BNS,SIDES,FOOD,3534
SPCY TUNA MAKI,ENTREES,FOOD,3523
GRN BNS/OR BUTTR,SIDES,FOOD,3509
EMP NAKD BURRI,EMPLOYEE MEALS,EMPL MEALS,3508
CALIFRNA MAKI,ENTREES,FOOD,3482
BLBERRY MUFFN,DESSERTS,FOOD,3440
YTG FRT PINAPLE,GRAB N GO,FOOD,3428
CEREAL,PREPACKAGED,FOOD,3418
SALMON,ENTREES,FOOD,3366
RED ONIONS,SALAD,FOOD,3360
Y SAN. TRKY/PRV,GRAB N GO,FOOD,3352
PORK/MUSHRM SC,ENTREES,FOOD,3348
TURK CHIPTL CLB,SANDWICHES,FOOD,3328
NB BRISKET,FOOD,FOOD,3321
FRIED CATFISH,ENTREES,FOOD,3269
BUFFLO CHIX,PIZZA,FOOD,3266
ROMAINE,SALAD,FOOD,3244
BEEF STICK,FOOD,FOOD,3227
BEEF STROGNOFF,ENTREES,FOOD,3213
BOSCO STICKS,PREPACKAGED,RETAIL,3187
LITER DASANI,BEVERAGES,BEVERAGES,3179
SHRMP/CHIX ETUF,ENTREES,FOOD,3145
BRUEGR MUFFIN,DESSERTS,FOOD,3143
CRVD FLAT IRON,ENTREES,FOOD,2990
GARBANZO BNS,SALAD,FOOD,2899
PLAIN OATMEAL,BREAKFAST,FOOD,2896
NB GRND SIRLN,FOOD,FOOD,2867
WALNUTS,SALAD,FOOD,2854
CHIX&DUMPLGS,ENTREES,FOOD,2830
ZUCCHINI & BASIL,SIDES,FOOD,2815
CHNKY STRW BWL O,BEVERAGES,BEVERAGES,2812
BAKED SQUASH,SIDES,FOOD,2795
COFFEE L,BEVERAGES,BEVERAGES,2777
SPCY SHRMP MAKI,ENTREES,FOOD,2777
HERBY TURKEY,SANDWICHES,FOOD,2776
BBQ RUBBD CHIX,ENTREES,FOOD,2774
CHIPS N GUACML,FOOD,FOOD,2764
SPECIAL PASTA,PIZZA,FOOD,2763
HOPPIN JOHN,SIDES,FOOD,2753
VANILLA FLAV,BEVERAGES,BEVERAGES,2721
BISCUIT,BREAKFAST,FOOD,2707
FRIED OKRA,SIDES,FOOD,2696
LEMN P MUFFN,DESSERTS,FOOD,2675
ADD TOFU,ENTREES,FOOD,2649
SHRIMP,ENTREES,FOOD,2564
GELATO/SORBE MD,ICE CREAM,FOOD,2554
GELATO/SORBE SM,ICE CREAM,FOOD,2539
BROWNIE,DESSERTS,FOOD,2506
ORANGE RICE,SIDES,FOOD,2450
SINGLE BAGEL,BREAKFAST,FOOD,2438
PARM. CHEESE,SALAD,FOOD,2433
EGG WHT N SDT,BREAKFAST,FOOD,2406
SPCY CRAB MAKI,ENTREES,FOOD,2385
NONCARB SODA,BEVERAGES,BEVERAGES,2332
X STEAK,FOOD,FOOD,2256
TP SIDE GREEK,SIDES,FOOD,2225
MUSHROOMS,SALAD,FOOD,2190
TEA BAG,BEVERAGES,BEVERAGES,2188
COOKE CHOC/CHOC,DESSERTS,FOOD,2186
BACON,BREAKFAST,FOOD,2113
TUESDAY BL PLTE,BREAKFAST,FOOD,2113
BEEF BRISKET,ENTREES,FOOD,2109
SUNFLWER SDS,SALAD,FOOD,2106
EGG N MEAT,BREAKFAST,FOOD,2104
LEMN PEPP CHIX,ENTREES,FOOD,2101
BRUEGR COOKIE,DESSERTS,FOOD,2098
YTG BLUEB. PARF.,GRAB N GO,FOOD,2082
BLK OLIVE,SALAD,FOOD,2027
BRKFST B STEAK,FOOD,FOOD,2001
NB PORK,FOOD,FOOD,1967
TP SIDE CAESAR,SIDES,FOOD,1963
SLD CHIX CAESR,SALAD,FOOD,1943
BRUEGR CHIPS,DESSERTS,FOOD,1927
WKLY SAVORY CR,DESSERTS,FOOD,1927
THURS. BL PLTE,BREAKFAST,FOOD,1924
ADD SHOT,BEVERAGES,BEVERAGES,1917
ISL PITAYA BWL O,BEVERAGES,BEVERAGES,1913
ICED TEA L,BEVERAGES,BEVERAGES,1908
Y REDPR/PITA,GRAB N GO,FOOD,1899
FRSTYL UPCHRG,BEVERAGES,BEVERAGES,1884
YOGURT CUP,PREPACKAGED,RETAIL,1882
CAESAR SLD,SALAD,FOOD,1849
YTG FRT CANTLP,GRAB N GO,FOOD,1832
Q CHICKEN,FOOD,FOOD,1804
BOLOGNESE,PASTA,FOOD,1781
COOKIE N CRM PIE,DESSERTS,FOOD,1723
SP TUNA AVOCADO,ENTREES,FOOD,1712
WEDNES. BL PLTE,BREAKFAST,FOOD,1700
BUT/JEL/HON BLG,BREAKFAST,FOOD,1673
BRAISED GREENS,SIDES,FOOD,1661
LORRAINE S CR,DESSERTS,FOOD,1654
PANG PANG,SALAD,FOOD,1653
SALMON MAKI,ENTREES,FOOD,1645
TANDOORI CHIX,ENTREES,FOOD,1641
3 T CHICKEN,FOOD,FOOD,1617
ORG TOMATO,SOUPS/ STEWS,FOOD,1588
ESP LATTE M,BEVERAGES,BEVERAGES,1536
FOUNTAIN BR,BEVERAGES,BEVERAGES,1517
LEONARDO VEG,SANDWICHES,FOOD,1511
HOKIE MAKI,ENTREES,FOOD,1507
SCALOP POTATO,SIDES,FOOD,1500
BACON BITS,SALAD,FOOD,1475
SIENE CHIX,SANDWICHES,FOOD,1448
TP SLD TSCN CHIX,ENTREES,FOOD,1429
TOFU GRL CITRUS,ENTREES,FOOD,1428
CHOC. ESPRSO BNS,PREPACKAGED,FOOD,1413
Y WRAP CHX SLD,GRAB N GO,FOOD,1408
PERUVIAN CHIX,ENTREES,FOOD,1405
FRIDAY BL PLTE,BREAKFAST,FOOD,1401
X PEANUT BUTTR,TOPPINGS,FOOD,1395
LG BL PLTE BRKF,BREAKFAST,FOOD,1374
MARGEHRITA,PIZZA,FOOD,1371
NOODLES,ENTREES,FOOD,1343
EEL MAKI,ENTREES,FOOD,1339
ROAST LAMB,ENTREES,FOOD,1334
VINDALOO RICE,SIDES,FOOD,1298
YTG FRT HONYDW,GRAB N GO,FOOD,1290
BLEU CHEESE,SALAD,FOOD,1286
SHRIMP AND GRITS,ENTREES,FOOD,1270
CALIFNA ROLL,SANDWICHES,FOOD,1259
QUESAD CHICKN,FOOD,FOOD,1256
SAUSAGE GRVY,BREAKFAST,FOOD,1256
YTG VGGIE BOWL,GRAB N GO,FOOD,1233
ADD SPICY,ENTREES,FOOD,1223
SWT CHOC CREPE,DESSERTS,FOOD,1219
SPECIAL DESSERT,PIZZA,FOOD,1214
BEES KNEES,SANDWICHES,FOOD,1213
TP SIDE GARDEN,SIDES,FOOD,1212
CORIANDER CHIX,ENTREES,FOOD,1207
ICE/WATER,BEVERAGES,BEVERAGES,1201
YTG RASP. PARF.,GRAB N GO,FOOD,1201
HAM N CHZ CR,DESSERTS,FOOD,1188
CRACKR CHP SC ON,FOOD,FOOD,1185
COOKE MAC NUT,DESSERTS,FOOD,1174
SAHALE SNACK MIX,PREPACKAGED,RETAIL,1157
